arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
rand_d0.1_m75_n100_s344.txt,0.1,75,100,OPTIMAL,11,9561505,4728601,11.81,302.702419
rand_d0.1_m75_n100_s345.txt,0.1,75,100,OPTIMAL,12,14461812,7169702,11.81,483.938436
rand_d0.1_m75_n100_s346.txt,0.1,75,100,OPTIMAL,11,3220757,1598477,11.81,99.079294
rand_d0.1_m75_n100_s347.txt,0.1,75,100,OPTIMAL,12,19442268,9475487,11.81,604.282558
rand_d0.1_m75_n100_s348.txt,0.1,75,100,OPTIMAL,10,181785,90057,11.81,6.339947
rand_d0.1_m75_n100_s349.txt,0.1,75,100,OPTIMAL,12,9477416,4673622,11.81,342.303668
rand_d0.1_m75_n100_s350.txt,0.1,75,100,OPTIMAL,11,5214790,2581536,11.81,183.238907
rand_d0.1_m75_n100_s351.txt,0.1,75,100,OPTIMAL,12,7646565,3731215,11.81,250.906574
rand_d0.1_m75_n100_s352.txt,0.1,75,100,OPTIMAL,12,3891323,1927969,11.81,152.20428
rand_d0.1_m75_n100_s353.txt,0.1,75,100,OPTIMAL,12,29063683,14293008,11.81,977.400686
rand_d0.1_m75_n100_s354.txt,0.1,75,100,OPTIMAL,11,9107622,4519970,11.81,251.083181
rand_d0.1_m75_n100_s355.txt,0.1,75,100,OPTIMAL,11,1456263,721482,11.81,47.89187
rand_d0.1_m75_n100_s356.txt,0.1,75,100,OPTIMAL,12,10373842,5043605,11.81,320.00403
rand_d0.1_m75_n100_s357.txt,0.1,75,100,OPTIMAL,12,20697373,10257358,11.81,752.612999
rand_d0.1_m75_n100_s358.txt,0.1,75,100,OPTIMAL,10,235404,116236,11.81,8.093428
rand_d0.1_m75_n100_s359.txt,0.1,75,100,OPTIMAL,12,1066755,522439,11.81,37.525054
rand_d0.1_m75_n125_s360.txt,0.1,75,125,TIMEOUT,12,48608953,23894596,11.81,1800.112128
rand_d0.1_m75_n125_s361.txt,0.1,75,125,TIMEOUT,11,50870705,25090117,11.98,1800.008456
rand_d0.1_m75_n125_s362.txt,0.1,75,125,TIMEOUT,11,56881380,27718529,11.98,1800.005791
rand_d0.1_m75_n125_s363.txt,0.1,75,125,TIMEOUT,12,50493623,24651241,11.98,1800.001103
