arquivo,densidade,m,n,status,custo,nos_explorados,nos_podados,memoria_mb,tempo_s
rand_d0.1_m75_n75_s45.txt,0.1,75,75,OPTIMAL,12,66435,10535,5214.76,4.408595
rand_d0.1_m75_n75_s46.txt,0.1,75,75,OPTIMAL,13,618874,612143,5214.76,37.64321
rand_d0.1_m75_n75_s47.txt,0.1,75,75,OPTIMAL,13,199821,189193,5214.76,13.784211
rand_d0.1_m75_n75_s48.txt,0.1,75,75,OPTIMAL,13,1521921,336811,5214.76,64.189566
rand_d0.1_m75_n75_s49.txt,0.1,75,75,OPTIMAL,13,892005,864052,5214.76,49.709228
rand_d0.1_m75_n75_s50.txt,0.1,75,75,OPTIMAL,12,513404,175454,5214.76,28.169512
rand_d0.1_m75_n75_s51.txt,0.1,75,75,OPTIMAL,12,539409,131748,5214.76,31.610005
rand_d0.1_m75_n75_s52.txt,0.1,75,75,OPTIMAL,13,757377,666748,5214.76,49.154418
rand_d0.1_m75_n75_s53.txt,0.1,75,75,OPTIMAL,12,196898,45273,5214.76,12.661367
rand_d0.1_m75_n75_s54.txt,0.1,75,75,OPTIMAL,12,1722111,1674007,5214.76,93.341674
rand_d0.1_m75_n75_s55.txt,0.1,75,75,OPTIMAL,12,191579,181050,5214.76,10.750026
rand_d0.1_m75_n75_s56.txt,0.1,75,75,OPTIMAL,12,645635,512130,5214.76,41.102826
rand_d0.1_m75_n75_s57.txt,0.1,75,75,OPTIMAL,12,201670,186082,5214.76,10.618359
rand_d0.1_m75_n75_s58.txt,0.1,75,75,OPTIMAL,13,1765234,542511,5214.76,97.853649
rand_d0.1_m75_n75_s59.txt,0.1,75,75,OPTIMAL,13,22883,3689,5214.76,2.057909
rand_d0.3_m100_n75_s160.txt,0.3,100,75,OPTIMAL,6,1597511,904787,5214.76,29.148011
rand_d0.3_m100_n75_s161.txt,0.3,100,75,OPTIMAL,6,895311,894373,5214.76,13.5553
rand_d0.3_m100_n75_s162.txt,0.3,100,75,OPTIMAL,6,416802,416364,5214.76,7.268532
rand_d0.3_m100_n75_s163.txt,0.3,100,75,OPTIMAL,6,843610,842476,5214.76,12.737118
rand_d0.3_m100_n75_s164.txt,0.3,100,75,OPTIMAL,6,797025,796242,5214.76,12.632063
rand_d0.3_m100_n75_s165.txt,0.3,100,75,OPTIMAL,6,1306326,738091,5214.76,24.031075
rand_d0.3_m100_n75_s166.txt,0.3,100,75,OPTIMAL,6,1305688,715089,5214.76,24.05012
